protein	bin	id	evalue	score
CP037943.1_3533	CP037943.1_3533	K01810	9.000000000000001e-291	964.7
CP037943.1_2201	CP037943.1_2201	K00380	1.1e-209	697.0
CP037943.1_2199	CP037943.1_2199	K00390	2.5000000000000004e-80	269.0
